epoch,accuracy,loss,val_accuracy,val_loss
0,0.6660799980163574,0.959860622882843,NA,NA
1,0.6690599918365479,0.9478158354759216,NA,NA
2,0.6751999855041504,0.9268458485603333,NA,NA
3,0.6741600036621094,0.937106728553772,NA,NA
4,0.6797800064086914,0.9185255765914917,NA,NA
5,0.6804999709129333,0.917867124080658,NA,NA
6,0.6831799745559692,0.9099388122558594,NA,NA
7,0.683139979839325,0.9030173420906067,NA,NA
8,0.6849600076675415,0.9016902446746826,NA,NA
9,0.6919000148773193,0.8855999112129211,NA,NA
10,0.6908199787139893,0.8795762658119202,NA,NA
11,0.6958199739456177,0.8768501281738281,NA,NA
12,0.6883000135421753,0.8965632319450378,NA,NA
13,0.6999800205230713,0.8686621189117432,NA,NA
14,0.7031800150871277,0.8519106507301331,NA,NA
15,0.7016800045967102,0.8596189022064209,NA,NA
16,0.7026399970054626,0.8576439023017883,NA,NA
17,0.7020800113677979,0.8518304824829102,NA,NA
18,0.705079972743988,0.8485808372497559,NA,NA
19,0.7064399719238281,0.8418605327606201,NA,NA
0,0.7048599720001221,0.8452845215797424,0.5,1.8669486045837402
1,0.7093799710273743,0.8268743753433228,0.5317999720573425,1.8636070489883423
2,0.7085800170898438,0.8376904129981995,0.5383999943733215,1.8767930269241333
3,0.7105399966239929,0.826225757598877,0.531000018119812,1.8556935787200928
4,0.7142599821090698,0.8200284242630005,0.542900025844574,1.8728140592575073
5,0.7164199948310852,0.8184053301811218,0.5418000221252441,1.7789123058319092
0,0.22642000019550323,3.3846335411071777,0.2800000011920929,1.8528177738189697
1,0.2980400025844574,1.8052979707717896,0.33149999380111694,1.7622488737106323
2,0.36555999517440796,1.6643606424331665,0.38449999690055847,1.6510642766952515
3,0.4065000116825104,1.5729743242263794,0.39079999923706055,1.6494617462158203
4,0.4301399886608124,1.523421049118042,0.43810001015663147,1.5432220697402954
5,0.4546999931335449,1.4742754697799683,0.439300000667572,1.5509005784988403
6,0.4741399884223938,1.4407132863998413,0.4456999897956848,1.5246644020080566
7,0.4867199957370758,1.4162096977233887,0.47279998660087585,1.4819341897964478
8,0.4953399896621704,1.3955374956130981,0.45879998803138733,1.5101972818374634
9,0.5029600262641907,1.3719667196273804,0.453000009059906,1.533068060874939
10,0.5095800161361694,1.3623671531677246,0.48170000314712524,1.4434044361114502
11,0.5184800028800964,1.3393679857254028,0.48510000109672546,1.4368401765823364
12,0.523859977722168,1.3299177885055542,0.5080000162124634,1.4090973138809204
13,0.5310199856758118,1.3209255933761597,0.5012000203132629,1.4294120073318481
14,0.5353599786758423,1.3065840005874634,0.4855000078678131,1.4689922332763672
15,0.5406399965286255,1.2959280014038086,0.48100000619888306,1.460045576095581
16,0.5486400127410889,1.279587984085083,0.504800021648407,1.4261924028396606
17,0.5551599860191345,1.2651833295822144,0.5091999769210815,1.398803472518921
18,0.5579599738121033,1.261026382446289,0.5187000036239624,1.4096060991287231
19,0.5600399971008301,1.2500275373458862,0.5231999754905701,1.3850007057189941
